,Plug Type,Depth,Pixel Location,Source
53,scal,4311.924440298508,1982.0,images/6406_3_2_4311_4312.jpg
54,hplug,4294.149300530632,309.5,images/6406_3_2_4294_4295.jpg
55,scal,4294.287023637241,595.0,images/6406_3_2_4294_4295.jpg
56,scal,4294.3420164013505,709.0,images/6406_3_2_4294_4295.jpg
57,hplug,4294.563434635794,1168.0,images/6406_3_2_4294_4295.jpg
58,scal,4294.867100820067,1797.5,images/6406_3_2_4294_4295.jpg
59,scal,4294.919440424505,1906.0,images/6406_3_2_4294_4295.jpg
60,hplug,3966.0470679012346,91.5,images/6406_3_2_3966_3967.jpg
61,vplug,3966.0810185185187,157.5,images/6406_3_2_3966_3967.jpg
62,vplug,3966.213734567901,415.5,images/6406_3_2_3966_3967.jpg
63,hplug,3966.210133744856,408.5,images/6406_3_2_3966_3967.jpg
64,vplug,3966.5643004115227,1097.0,images/6406_3_2_3966_3967.jpg
65,hplug,3966.570216049383,1108.5,images/6406_3_2_3966_3967.jpg
66,vplug,3966.7312242798353,1421.5,images/6406_3_2_3966_3967.jpg
67,hplug,3966.744598765432,1447.5,images/6406_3_2_3966_3967.jpg
68,scal,3966.846965020576,1646.5,images/6406_3_2_3966_3967.jpg
69,scal,3966.90329218107,1756.0,images/6406_3_2_3966_3967.jpg
70,hplug,3966.9616769547324,1869.5,images/6406_3_2_3966_3967.jpg
71,scal,3966.962962962963,1872.0,images/6406_3_2_3966_3967.jpg
72,scal,4148.043764553687,99.5,"images/6406_3_2_4148_4148,34.jpg"
73,scal,4148.18319534282,416.5,"images/6406_3_2_4148_4148,34.jpg"
74,scal,4148.224100905562,509.5,"images/6406_3_2_4148_4148,34.jpg"
75,hplug,3700.331303288672,816.0,images/6407_1_3_3700_3701.jpg
76,scal,3700.6354039788876,1565.0,images/6407_1_3_3700_3701.jpg
77,hplug,3700.634185952091,1562.0,images/6407_1_3_3700_3701.jpg
78,hplug,4086.288501026694,562.0,images/6406_3_2_4086_4087.jpg
79,vplug,4086.450718685832,878.0,images/6406_3_2_4086_4087.jpg
80,hplug,4086.44250513347,862.0,images/6406_3_2_4086_4087.jpg
81,hplug,4086.69045174538,1345.0,images/6406_3_2_4086_4087.jpg
82,scal,4086.790297741273,1539.5,images/6406_3_2_4086_4087.jpg
83,scal,4086.851386036961,1658.5,images/6406_3_2_4086_4087.jpg
84,hplug,4321.1116279069765,216.0,images/6406_3_2_4321_4322.jpg
85,vplug,4321.2558139534885,495.0,images/6406_3_2_4321_4322.jpg
86,hplug,4321.257881136951,499.0,images/6406_3_2_4321_4322.jpg
87,vplug,4321.395607235142,765.5,images/6406_3_2_4321_4322.jpg
88,vplug,4321.546253229974,1057.0,images/6406_3_2_4321_4322.jpg
89,hplug,4321.537467700258,1040.0,images/6406_3_2_4321_4322.jpg
90,vplug,4321.726098191214,1405.0,images/6406_3_2_4321_4322.jpg
91,hplug,4321.708527131783,1371.0,images/6406_3_2_4321_4322.jpg
92,scal,4321.887080103359,1716.5,images/6406_3_2_4321_4322.jpg
93,scal,4321.948062015504,1834.5,images/6406_3_2_4321_4322.jpg
